validator_index,node_operator_id,validator_pubkey
57663,0,81b4ae61a898396903897f94bea0e062c3a6925ee93d30f4d4aee93b533b49551ac337da78ff2ab0cfbb0adb380cad94
57664,0,953805708367b0b5f6710d41608ccdd0d5a67938e10e68dd010890d4bfefdcde874370423b0af0d0a053b7b98ae2d6ed
57665,0,814dc0f55ac3fb02431668adf6f8fa1c37fb9baa5b87f5be519a373205933dfe742f3df566cba3a35b5be1940e1dffd5
57666,0,88d1ac7f33780fd328bee60957b2325cfa41b3719614b662616d4525e5b478b3a81d490671526936e3ea412428c84451
57667,0,a53dd1acc6091fbff3efd43ff520c82ca4b56fe2ba9ee8ca119fd6a4646b6759b15f2cafeb1bbf14f5a0cb2c66cdfe47
57668,0,922a6a6a792d4fab40b503803acd77a8c6b281f52798b41067338bc557d0b1732ba4167e899a3d6b28058ba0c54dab3e
57669,0,87c0cdca9b28836969082f6616b14e9878786ae7c7d11e1147d7a4d439fcdae6eae47eb7bb722a2fcdc68f5741f881f4
57670,0,a115d2f8a13a1c4cd47b68bb6931c504bc80dc501cac0cf4ca2aa0339df1755a09ae546a13f4ee67cc22298b6e94be61
57671,0,86e8b2d492c76d091799e59ce2531f5a47fc8ad2c6b90ef7a94d2bd6b72645571efa159ecc273f83789e193b6502df1c
57672,0,8e7fcdc1437fa843fae5ce9acd7c3ffa997dc8292feeacf8d9ea46d0c92e9aa1e7294d84457479865b5e6531015bf8c0
57673,0,b3b62c5b7780fbf7eea8162cd75bbd99610ebc7cbdb90c04865afcad8342cea06e1cf61b50ae9f82a23fe80f3aee8967
57674,0,84876574143e108496e55ade56c4e84190edb711111f4fdff3b873125fb5b31898e33670db898434e9c0236edc346fd7
57675,0,942c77067feb179f72c052c07691e1f2d9261604f15b4118d1250ef83a6c18ef0a0c82ce27fef3a882c07df157c9a924
57676,0,80dae10e1362adb5955d35b34334f8e752b9f1752b3b1a91c8885382ca9bb62082340a6833e0302780fe86e88d5b1095
57677,0,939eafeb2d7f19ad13b2b214d9d859d2e24f008e5779fd4ef99cf6a963bcdf32df9fb45609650c6fdb4bd0f135b98b0e
57678,0,a0753ef12ebed4a38cba90b85fbdd2c53accdfefec912746f16cd6ae883ccbbf502ff091b045b8f654471e2e4812c264
57679,0,aeb25b4d53cb1a5a26bc5793e38153e0059b18b4202a1c353b6cece24f47da41f69260b3c212b86b1597a35e21d47f03
57680,0,834de0973ef62c72901c1129f2aa60a4c8f99360115d47f7f7fc546e012aeaaafbd18795d6fcb2e236508fa4fedaa963
57681,0,918ffd0cd9766892d6cd50e4662d042dd0bc3ea7204479ac14ef71befaf785769c48c1bab87c3d4baef50a0405366667
57682,0,b93b6c15a79f2b082c5667cee8ed5c482db14a2177b5510ae22e5a7f43bd6f538a7fbdc51ef219af634bf02714a7657a
57683,0,b72557e20352742da0a76a5830e44d30e18a3c5380950fca7ada6e9999f85773568ecb29918aba91accc9d9a3dc5307d
57684,0,802e7a9e57ab722854e0ee7eef1b6347b43629dd5e7eddbf948af5e7f2c715ff66b93b712e9578202d3033cbf1e0e51b
57685,0,80a455db92c4c151aaa456aa6b1b8d1e6efb5125ba1d643130a6399e93b90db61d005e3df6b307672233a312df6dcbe9
57686,0,b04bf1000a4728ff7cdf17290e6b9e3042ec6f56dec2dc780a43254967f6ac40b82116e9e3147b464b824f0bced47880
57687,0,93f5a911e7af9daf9363a3efd29d2f8dec5ea15fa46329f866d6314dd7bb78bc90578b6d1d9740fa0ae519de616ccbfa
57688,0,b3f8ed879c319ecb4a4d608e502f79f2f1fc244da21afcbc6d3f533806a5e68964777d662c8cf9ef0497a96c6da10e8a
57689,0,8b3ab5295b930a7343f5bb5b2a018bf917627c311d6840c9a61beedac390ab2601bac0347d226987797725d26d58e2d1
57690,0,a57701f34d57c4fff86d4f4738abefdc4eba426de420b03ebef87e812c6dc43a7283cf531a4a4101e2a03703592c2771
57691,0,8ae79d62b35f520676151c6c180c7b5d5b464b2b20a1dd69592316663b616f9fae28587d98dc52b70e98d2b0893b72b5
57692,0,b5bdfd3942775e00ef1ecf612804a3adad1a5958cedb591a6fb946cdf3cc9a1b54bcdc708a0e1cee7c455e0aa481e794
57693,0,8fb58545e058a8fefdc7b936d52595a4f64f3e1f3eb22f3a4320bff3753b1df8eea6d47498db4b66df241facec1d621c
57694,0,a6293bc36b3aac60b3037e90f2ed43a4d281f47d4ed67bf1dcd0290b29ce332c1d8df6963eeb54a84123a7a19c7bc083
57695,0,8e327a43212855114abdf8b6f6cd9379e1159c3d903638e16083ed8f1ced783bb769fa45a6d40b3681b4e56c83b2c7a8
57696,0,9051831f65d2cb0d2e43da471bad607d6d12382cda31b4a69cba907a0a6e64f79de668938de282460defbc17add8d64c
57697,0,b3122637ea0e35aff28f006fb8b0af9a13c381f94d92f4815dd6f1866eeadf2679da3b61b83673124a6aa1a22012287f
57698,0,a18994df319c8cb87bb68cb92f5333b3808b376d819f5ecb1454e7fa94c253973a004f9bb9eed7c1f3c8deb454621d66
57699,0,a6bc3844eefb43fe3b8861cd9aaa66a05ad60b9ec1f83d13c797c5d1fd436718864cf627e6952468940483bbd408b22d
57700,0,872d5fab5696e0a67582f19e2ccddbc30f9e16ca1e41b8291cd4f24b551f5e7fc3078f6f79fdfb4d3bb3dc024cd9ac75
57701,0,944eb0e4a50fe5413e11c4bf179254ef27bb7702a6aa5b34d8d34929cdf3f09997d39aa3d8df03a1216348a9346ff85a
57702,0,a653e41464bedc90ed1a9cbea9e0a718170d81a46b0ed6f65d7bb81f73c9c87be4284b174d3c11335cadc9a91942790b
57703,0,a3fecda655196d75a6a422bf781dc294d967ec343d1dd20560d2f465f765ede2a4ddcb7cb703f382a804adf1191a4a68
57704,0,91219e49a5bb8d53283373f347db695e056e849eff46fcefe70c20e642588422b466161f6752b34593dbd5db294a7838
57705,0,b072f1a231fab8ef625d1cea16784f6d2030fb2bbc4c71b71c2f05470eac352cc53fdabb11c32e1c569d147f7876abc8
57706,0,b76ea663eea9be6aff017f31bd20c4acae66c40c1a2ce93892f23fb3f9bded71f0b553c3a1313899522573fb876336a6
57707,0,ade2e504fc71b851d343677a3a76d050b7da96470d488e5155ee6ec5607ad28ea6994959f6605f4d0bc20ba7bf808b41
57708,0,94c6c052566a4fdab1fccf10486de09ede6403b9263eb2ed1d69c1205dea12b39428ceca9c01e04a985e82bd178b23e3
57709,0,b55e592112bfb7b74798564df4292242b3c5e5f384bf7ef510e2d950908384ea63b40b0241f592ae54064eafa205b99a
57710,0,99a4e96a9f6913c4ad6e84c901f1669602b62f4bbc5d9d7b60ff01a2698eb6745405017c2fb0177d49cf2d4064da5f72
57711,0,b8ea9da8ee8e7d09a8aee585035e857a18bcb2c01294370dee366e5d85af52cb4ad654fb7d401d90b524249f2b0ce0ca
57712,0,b420a3ad44143aa8ae684e3e7e986a8b7e5b4c55fe31175e97ed95151f79a8a513ee608a146b4b5c6a93dda7bc7b0a14
60668,0,8afa737d0f6a91f99462c54a307c0b8e53490a7ece2d4afceb37b4923f5ebeb485cb44ef576f6f66d965ac876f795a51
60669,0,871ab8f97fb1c08d01ffb7719f67d9b097c1d9c79441b35bf3659fea0c817c557edcae1da9078a309a9c92598dea93ae
60670,0,ac89deb57354b2d6962e53c5fb4ab3a2ef344ba3ed865277484f09adb2ffd49668a1aace809ff4f2b15a5397353d73a8
60671,0,84334297956ae86a00b21b0cf51d804ff5897911a14fbf8c294d5d84a09554662a29c85405fb99cf74f9685d40d1b1b0
60672,0,a54e6b451fc49dde953896a685281db6cd814ab6dbdfe10c8663d7ab52dd93f1912f87212e11f6a7c725c442cef3e798
60673,0,a3c70f0db4c3b88fc27bf9a6339621650f3d8acfb725becf916065ce72be2ea5dbc75bd492cfcdb490ebb3c155314ce2
60674,0,b2aaac5d5a8d1addfaf1aaa57649eeb29cfee91b4637ebceb5a9ddf506b2617ce76ebe79203f3a36a1e8e0a322b27e3d
60675,0,8927ad48b7bd87f858b26332d0c54540d1f41b42f622e30aec89039633fd78307d384aa33e60a758585803ae3ba0a5c2
60676,0,838ee261a6a33e70250b136ee37a8407ce994673a2c72ca26b3155b37fbb1a7a7de24945542cafc23a252341a52c751a
60677,0,b9a3d4640631c927daf1967327a7aae91e878e3b8001f24a9ec7181647ec1425f8b50fba31ede846d01b5a0bb83201b9
60678,0,9549ecd50a9516c26a7e19c92e2727c94b0fb69268f28e65fc7a25a521654db36d0d01976b7a3f9ac874af4e4e2b555a
60679,0,b7241ffe5e1be87a4137af782403a3855f15b18790fd71d733deb70d170404defd42fa8f2d9faf9cfc34ca5ee8b87002
60680,0,82eb7010f27693e7201b6ef91eca3509bd953eb176ba807061685fde661c5f58553a562e4f8238535c42ee5d3f470fe4
60681,0,83733072899a7018483f46f23afdc636ed2140d0bb26eb84bc7c7ba464d0ec3acd20741d3c64ca4cf04e4aa04b1a0587
60682,0,a333383e3e8f1f985427b490a4a022f0e81f5e04cf10dc20b6c4ce88495a0682e30244e3f28a0c45c81c0016074574fc
